@relation 2_4

@attribute Store numeric
@attribute Dept numeric
@attribute Date date 'yyyy-MM-dd'
@attribute Weekly_Sales numeric
@attribute IsHoliday {FALSE,TRUE}

@data
2,4,2010-02-05,47681.96,FALSE
2,4,2010-02-12,44197.95,TRUE
2,4,2010-02-19,46131.14,FALSE
2,4,2010-02-26,42126.71,FALSE
2,4,2010-03-05,46937.81,FALSE
2,4,2010-03-12,42489.21,FALSE
2,4,2010-03-19,44622.56,FALSE
2,4,2010-03-26,41455.34,FALSE
2,4,2010-04-02,47951.76,FALSE
2,4,2010-04-09,45280.89,FALSE
2,4,2010-04-16,43463.55,FALSE
2,4,2010-04-23,43703.76,FALSE
2,4,2010-04-30,42829.7,FALSE
2,4,2010-05-07,47486.4,FALSE
2,4,2010-05-14,43466.84,FALSE
2,4,2010-05-21,45303.34,FALSE
2,4,2010-05-28,49046.81,FALSE
2,4,2010-06-04,49732.37,FALSE
2,4,2010-06-11,45485.63,FALSE
2,4,2010-06-18,46855.87,FALSE
2,4,2010-06-25,43272.19,FALSE
2,4,2010-07-02,49043.02,FALSE
2,4,2010-07-09,47787.07,FALSE
2,4,2010-07-16,46002.41,FALSE
2,4,2010-07-23,44645.34,FALSE
2,4,2010-07-30,45238.73,FALSE
2,4,2010-08-06,49676.14,FALSE
2,4,2010-08-13,46682.77,FALSE
2,4,2010-08-20,50224.42,FALSE
2,4,2010-08-27,45934.74,FALSE
2,4,2010-09-03,48202.94,FALSE
2,4,2010-09-10,45649,TRUE
2,4,2010-09-17,43583.12,FALSE
2,4,2010-09-24,43343.92,FALSE
2,4,2010-10-01,44705.44,FALSE
2,4,2010-10-08,45818.11,FALSE
2,4,2010-10-15,44807.3,FALSE
2,4,2010-10-22,42886.13,FALSE
2,4,2010-10-29,44921.82,FALSE
2,4,2010-11-05,47784.77,FALSE
2,4,2010-11-12,46147.8,FALSE
2,4,2010-11-19,51524.46,FALSE
2,4,2010-11-26,60904.49,TRUE
2,4,2010-12-03,45630.41,FALSE
2,4,2010-12-10,48045.66,FALSE
2,4,2010-12-17,50651.28,FALSE
2,4,2010-12-24,62586.93,FALSE
2,4,2010-12-31,46856.39,TRUE
2,4,2011-01-07,46972.35,FALSE
2,4,2011-01-14,44945.65,FALSE
2,4,2011-01-21,45875.56,FALSE
2,4,2011-01-28,43907.78,FALSE
2,4,2011-02-04,46231.68,FALSE
2,4,2011-02-11,50238.23,TRUE
2,4,2011-02-18,45097.36,FALSE
2,4,2011-02-25,43477.94,FALSE
2,4,2011-03-04,46965.84,FALSE
2,4,2011-03-11,44569.04,FALSE
2,4,2011-03-18,43150.07,FALSE
2,4,2011-03-25,40662.41,FALSE
2,4,2011-04-01,42467.97,FALSE
2,4,2011-04-08,42165,FALSE
2,4,2011-04-15,40774.05,FALSE
2,4,2011-04-22,43827.02,FALSE
2,4,2011-04-29,42103.64,FALSE
2,4,2011-05-06,43952.85,FALSE
2,4,2011-05-13,41947.23,FALSE
2,4,2011-05-20,41425.37,FALSE
2,4,2011-05-27,44543.25,FALSE
2,4,2011-06-03,46983.09,FALSE
2,4,2011-06-10,43837.33,FALSE
2,4,2011-06-17,43157.75,FALSE
2,4,2011-06-24,41438.81,FALSE
2,4,2011-07-01,46307.86,FALSE
2,4,2011-07-08,44431.5,FALSE
2,4,2011-07-15,41935.9,FALSE
2,4,2011-07-22,42379.14,FALSE
2,4,2011-07-29,42761.1,FALSE
2,4,2011-08-05,46332.58,FALSE
2,4,2011-08-12,45898.36,FALSE
2,4,2011-08-19,48759.46,FALSE
2,4,2011-08-26,44929.7,FALSE
2,4,2011-09-02,43831.31,FALSE
2,4,2011-09-09,43054.31,TRUE
2,4,2011-09-16,42110.79,FALSE
2,4,2011-09-23,41290.33,FALSE
2,4,2011-09-30,42514.19,FALSE
2,4,2011-10-07,45904.51,FALSE
2,4,2011-10-14,41842.76,FALSE
2,4,2011-10-21,41549.8,FALSE
2,4,2011-10-28,41105.97,FALSE
2,4,2011-11-04,45378.96,FALSE
2,4,2011-11-11,44380.53,FALSE
2,4,2011-11-18,47936.9,FALSE
2,4,2011-11-25,60792.11,TRUE
2,4,2011-12-02,44295.08,FALSE
2,4,2011-12-09,44697.01,FALSE
2,4,2011-12-16,47834.96,FALSE
2,4,2011-12-23,59678.11,FALSE
2,4,2011-12-30,45254.3,TRUE
2,4,2012-01-06,49377.61,FALSE
2,4,2012-01-13,43649.89,FALSE
2,4,2012-01-20,43199.76,FALSE
2,4,2012-01-27,40933.71,FALSE
2,4,2012-02-03,45476.69,FALSE
2,4,2012-02-10,46926.71,TRUE
2,4,2012-02-17,44344.22,FALSE
2,4,2012-02-24,42748.2,FALSE
2,4,2012-03-02,45833.82,FALSE
2,4,2012-03-09,45363.57,FALSE
2,4,2012-03-16,44531.12,FALSE
2,4,2012-03-23,42582.69,FALSE
2,4,2012-03-30,42958.64,FALSE
2,4,2012-04-06,48565.55,FALSE
2,4,2012-04-13,45239.6,FALSE
2,4,2012-04-20,45655.92,FALSE
2,4,2012-04-27,42459.29,FALSE
2,4,2012-05-04,46298.93,FALSE
2,4,2012-05-11,44349.31,FALSE
2,4,2012-05-18,46008.96,FALSE
2,4,2012-05-25,47627.29,FALSE
2,4,2012-06-01,47662.59,FALSE
2,4,2012-06-08,48621.95,FALSE
2,4,2012-06-15,44776.31,FALSE
2,4,2012-06-22,45355.82,FALSE
2,4,2012-06-29,46315.63,FALSE
2,4,2012-07-06,51526.65,FALSE
2,4,2012-07-13,44568.55,FALSE
2,4,2012-07-20,45996.72,FALSE
